run	metric	query	value
summaryOnly	num_ret               	1	1000
summaryOnly	iprec_at_recall_0.20  	18	0.0872
summaryOnly	iprec_at_recall_0.30  	18	0.0753
summaryOnly	iprec_at_recall_0.40  	18	0
summaryOnly	iprec_at_recall_0.50  	18	0
summaryOnly	iprec_at_recall_0.60  	18	0
summaryOnly	iprec_at_recall_0.70  	18	0
summaryOnly	iprec_at_recall_0.80  	18	0
summaryOnly	iprec_at_recall_0.90  	18	0
summaryOnly	iprec_at_recall_1.00  	18	0
summaryOnly	P_5                   	18	0.2
summaryOnly	P_10                  	18	0.3
summaryOnly	P_15                  	18	0.3333
summaryOnly	P_20                  	18	0.25
summaryOnly	P_30                  	18	0.2
summaryOnly	P_100                 	18	0.12
summaryOnly	P_200                 	18	0.085
summaryOnly	P_500                 	18	0.044
summaryOnly	P_1000                	18	0.026
summaryOnly	num_ret               	19	1000
summaryOnly	num_rel               	19	222
summaryOnly	num_rel_ret           	19	28
summaryOnly	map                   	19	0.0065
summaryOnly	Rprec                 	19	0.045
summaryOnly	bpref                 	19	0.0667
summaryOnly	recip_rank            	19	0.0385
summaryOnly	iprec_at_recall_0.00  	19	0.0841
summaryOnly	iprec_at_recall_0.10  	19	0.047
summaryOnly	iprec_at_recall_0.20  	19	0
summaryOnly	iprec_at_recall_0.30  	19	0
summaryOnly	iprec_at_recall_0.40  	19	0
summaryOnly	iprec_at_recall_0.50  	19	0
summaryOnly	iprec_at_recall_0.60  	19	0
summaryOnly	iprec_at_recall_0.70  	19	0
summaryOnly	iprec_at_recall_0.80  	19	0
summaryOnly	iprec_at_recall_0.90  	19	0
summaryOnly	iprec_at_recall_1.00  	19	0
summaryOnly	P_5                   	19	0
summaryOnly	P_10                  	19	0
summaryOnly	P_15                  	19	0
summaryOnly	P_20                  	19	0
summaryOnly	P_30                  	19	0.0333
summaryOnly	P_100                 	19	0.08
summaryOnly	P_200                 	19	0.05
summaryOnly	P_500                 	19	0.046
summaryOnly	P_1000                	19	0.028
summaryOnly	num_ret               	2	1000
summaryOnly	num_rel               	2	34
summaryOnly	num_rel_ret           	2	14
summaryOnly	map                   	2	0.014
summaryOnly	Rprec                 	2	0.0588
summaryOnly	bpref                 	2	0.0346
summaryOnly	recip_rank            	2	0.0909
summaryOnly	iprec_at_recall_0.00  	2	0.0909
summaryOnly	iprec_at_recall_0.10  	2	0.0435
summaryOnly	iprec_at_recall_0.20  	2	0.0282
summaryOnly	iprec_at_recall_0.30  	2	0.014
summaryOnly	iprec_at_recall_0.40  	2	0.014
summaryOnly	iprec_at_recall_0.50  	2	0
summaryOnly	iprec_at_recall_0.60  	2	0
summaryOnly	iprec_at_recall_0.70  	2	0
summaryOnly	iprec_at_recall_0.80  	2	0
summaryOnly	iprec_at_recall_0.90  	2	0
summaryOnly	iprec_at_recall_1.00  	2	0
summaryOnly	P_5                   	2	0
summaryOnly	P_10                  	2	0
summaryOnly	P_15                  	2	0.0667
summaryOnly	P_20                  	2	0.05
summaryOnly	P_30                  	2	0.0667
summaryOnly	P_100                 	2	0.04
summaryOnly	P_200                 	2	0.03
summaryOnly	P_500                 	2	0.018
summaryOnly	P_1000                	2	0.014
summaryOnly	num_ret               	20	1000
summaryOnly	num_rel               	20	658
summaryOnly	num_rel_ret           	20	255
summaryOnly	map                   	20	0.2039
summaryOnly	Rprec                 	20	0.3252
summaryOnly	bpref                 	20	0.3718
summaryOnly	recip_rank            	20	1
summaryOnly	iprec_at_recall_0.00  	20	1
summaryOnly	iprec_at_recall_0.10  	20	0.6055
summaryOnly	iprec_at_recall_0.20  	20	0.4908
summaryOnly	iprec_at_recall_0.30  	20	0.3508
summaryOnly	iprec_at_recall_0.40  	20	0
summaryOnly	iprec_at_recall_0.50  	20	0
summaryOnly	iprec_at_recall_0.60  	20	0
summaryOnly	iprec_at_recall_0.70  	20	0
summaryOnly	iprec_at_recall_0.80  	20	0
summaryOnly	iprec_at_recall_0.90  	20	0
summaryOnly	iprec_at_recall_1.00  	20	0
summaryOnly	P_5                   	20	0.8
summaryOnly	P_10                  	20	0.9
summaryOnly	P_15                  	20	0.9333
summaryOnly	P_20                  	20	0.95
summaryOnly	P_30                  	20	0.9
summaryOnly	P_100                 	20	0.63
summaryOnly	P_200                 	20	0.525
summaryOnly	P_500                 	20	0.37
summaryOnly	P_1000                	20	0.255
summaryOnly	num_ret               	21	1000
summaryOnly	num_rel               	21	73
summaryOnly	num_rel_ret           	21	16
summaryOnly	map                   	21	0.0098
summaryOnly	Rprec                 	21	0.0548
summaryOnly	bpref                 	21	0.0377
summaryOnly	recip_rank            	21	0.1111
summaryOnly	iprec_at_recall_0.00  	21	0.1333
summaryOnly	iprec_at_recall_0.10  	21	0.033
summaryOnly	iprec_at_recall_0.20  	21	0.0164
summaryOnly	iprec_at_recall_0.30  	21	0
summaryOnly	iprec_at_recall_0.40  	21	0
summaryOnly	iprec_at_recall_0.50  	21	0
summaryOnly	iprec_at_recall_0.60  	21	0
summaryOnly	iprec_at_recall_0.70  	21	0
summaryOnly	iprec_at_recall_0.80  	21	0
summaryOnly	iprec_at_recall_0.90  	21	0
summaryOnly	iprec_at_recall_1.00  	21	0
summaryOnly	P_5                   	21	0
summaryOnly	P_10                  	21	0.1
summaryOnly	P_15                  	21	0.1333
summaryOnly	P_20                  	21	0.1
summaryOnly	P_30                  	21	0.0667
summaryOnly	P_100                 	21	0.04
summaryOnly	P_200                 	21	0.035
summaryOnly	P_500                 	21	0.018
summaryOnly	P_1000                	21	0.016
summaryOnly	num_ret               	22	1000
summaryOnly	num_rel               	22	8
summaryOnly	num_rel_ret           	22	3
summaryOnly	map                   	22	0.0075
summaryOnly	Rprec                 	22	0
summaryOnly	bpref                 	22	0
summaryOnly	recip_rank            	22	0.0417
summaryOnly	iprec_at_recall_0.00  	22	0.0417
summaryOnly	iprec_at_recall_0.10  	22	0.0417
summaryOnly	iprec_at_recall_0.20  	22	0.0146
summaryOnly	iprec_at_recall_0.30  	22	0.004
summaryOnly	iprec_at_recall_0.40  	22	0
summaryOnly	iprec_at_recall_0.50  	22	0
summaryOnly	iprec_at_recall_0.60  	22	0
summaryOnly	iprec_at_recall_0.70  	22	0
summaryOnly	iprec_at_recall_0.80  	22	0
summaryOnly	iprec_at_recall_0.90  	22	0
summaryOnly	iprec_at_recall_1.00  	22	0
summaryOnly	P_5                   	22	0
summaryOnly	P_10                  	22	0
summaryOnly	P_15                  	22	0
summaryOnly	P_20                  	22	0
summaryOnly	P_30                  	22	0.0333
summaryOnly	P_100                 	22	0.01
summaryOnly	P_200                 	22	0.01
summaryOnly	P_500                 	22	0.004
summaryOnly	P_1000                	22	0.003
summaryOnly	num_ret               	23	1000
summaryOnly	num_rel               	23	109
summaryOnly	num_rel_ret           	23	18
summaryOnly	map                   	23	0.0075
summaryOnly	Rprec                 	23	0.0459
summaryOnly	bpref                 	23	0.0658
summaryOnly	recip_rank            	23	0.0909
summaryOnly	iprec_at_recall_0.00  	23	0.1538
summaryOnly	iprec_at_recall_0.10  	23	0.0282
summaryOnly	iprec_at_recall_0.20  	23	0
summaryOnly	iprec_at_recall_0.30  	23	0
summaryOnly	iprec_at_recall_0.40  	23	0
summaryOnly	iprec_at_recall_0.50  	23	0
summaryOnly	iprec_at_recall_0.60  	23	0
summaryOnly	iprec_at_recall_0.70  	23	0
summaryOnly	iprec_at_recall_0.80  	23	0
summaryOnly	iprec_at_recall_0.90  	23	0
summaryOnly	iprec_at_recall_1.00  	23	0
summaryOnly	P_5                   	23	0
summaryOnly	P_10                  	23	0
summaryOnly	P_15                  	23	0.1333
summaryOnly	P_20                  	23	0.1
summaryOnly	P_30                  	23	0.0667
summaryOnly	P_100                 	23	0.05
summaryOnly	P_200                 	23	0.035
summaryOnly	P_500                 	23	0.024
summaryOnly	P_1000                	23	0.018
summaryOnly	num_ret               	24	1000
summaryOnly	num_rel               	24	776
summaryOnly	num_rel_ret           	24	205
summaryOnly	map                   	24	0.0854
summaryOnly	Rprec                 	24	0.232
summaryOnly	bpref                 	24	0.2506
summaryOnly	recip_rank            	24	0.2
summaryOnly	iprec_at_recall_0.00  	24	0.5122
summaryOnly	iprec_at_recall_0.10  	24	0.3467
summaryOnly	iprec_at_recall_0.20  	24	0.2436
summaryOnly	iprec_at_recall_0.30  	24	0
summaryOnly	iprec_at_recall_0.40  	24	0
summaryOnly	iprec_at_recall_0.50  	24	0
summaryOnly	iprec_at_recall_0.60  	24	0
summaryOnly	iprec_at_recall_0.70  	24	0
summaryOnly	iprec_at_recall_0.80  	24	0
summaryOnly	iprec_at_recall_0.90  	24	0
summaryOnly	iprec_at_recall_1.00  	24	0
summaryOnly	P_5                   	24	0.2
summaryOnly	P_10                  	24	0.3
summaryOnly	P_15                  	24	0.2667
summaryOnly	P_20                  	24	0.4
summaryOnly	P_30                  	24	0.4667
summaryOnly	P_100                 	24	0.44
summaryOnly	P_200                 	24	0.35
summaryOnly	P_500                 	24	0.274
summaryOnly	P_1000                	24	0.205
summaryOnly	num_ret               	25	1000
summaryOnly	num_rel               	25	219
summaryOnly	num_rel_ret           	25	76
summaryOnly	map                   	25	0.0317
summaryOnly	Rprec                 	25	0.0868
summaryOnly	bpref                 	25	0.1101
summaryOnly	recip_rank            	25	0.5
summaryOnly	iprec_at_recall_0.00  	25	0.5
summaryOnly	iprec_at_recall_0.10  	25	0.0925
summaryOnly	iprec_at_recall_0.20  	25	0.0903
